fname,kit,test,system,setpoint,job_time,job_time_readable,end_time,end_time_readable,handlername,DayOfWeek,month,week,quarter,year,IntID,ALID,AlarmText,LotParts,SubID,Source,Type,Class,Subclass,unknown1,Arg1,Arg2,RebootCount,ReinitCount,RetryCount,ClearCount,set_time,cleared_time,set_readable,cleared_readable,ElapsedTime,unknown2,unknown3,unknown4,Temperature,E10Mode,OpMode,StationMode,TesterMode,AirPLow,PartCount,CycleCount,unknown5,UserID,HandlerID,SiteID
T:/Lot_History\Lot_18_58_53_Apr-30-1651363133.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651363133,4/30/2022 18:58,1651394244,5/1/2022 3:37,MTX04,6,5,17,2,2022,44,10554,ALARM10554-Input PnP Y-Pitch Axis unable to complete move.,55,SC1_Handler:PnP_Input,1,User,Assist,Reboot,,(target = 0.9570),,1,0,0,0,1651372726,1651378261,4/30/2022 21:38,4/30/2022 23:11,5535,-1,0,0,140,Alarm,Running,1,1,0,13535,13535,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_18_58_53_Apr-30-1651363133.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651363133,4/30/2022 18:58,1651394244,5/1/2022 3:37,MTX04,6,5,17,2,2022,45,10504,ALARM10504-Input PnP X-Axis unable to complete move. %s,55,SC1_Handler:PnP_Input,1,Machine,Assist,Reboot,,(target = -0.8900),,1,0,0,0,1651372728,1651378261,4/30/2022 21:38,4/30/2022 23:11,5533,-1,0,0,140,Alarm,Running,1,1,0,13535,13535,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_18_58_53_Apr-30-1651363133.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651363133,4/30/2022 18:58,1651394244,5/1/2022 3:37,MTX04,6,5,17,2,2022,46,12504,ALARM12504-Output PnP X-Axis unable to complete move. %s,55,SC1_Handler:PnP_Output,1,Machine,Assist,Reboot,,(target = 10.4500),,1,0,0,0,1651372730,1651378261,4/30/2022 21:38,4/30/2022 23:11,5531,-1,0,0,140,Alarm,Running,1,1,0,13535,13535,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_18_58_53_Apr-30-1651363133.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651363133,4/30/2022 18:58,1651394244,5/1/2022 3:37,MTX04,6,5,17,2,2022,47,10880,ALARM10880-Boat Xport Access Doors failed to close door at Output,200,SC1_Handler:PnP_Transfer,0,User,Assist,Reboot,,,,1,0,0,0,1651372737,1651378261,4/30/2022 21:38,4/30/2022 23:11,5524,-1,0,0,140,Alarm,Running,1,1,0,13535,13535,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_18_58_53_Apr-30-1651363133.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651363133,4/30/2022 18:58,1651394244,5/1/2022 3:37,MTX04,6,5,17,2,2022,48,10845,ALARM10845-Boat Xport Output Stack retainer failed to extend,200,SC1_Handler:Boat_Xport,0,User,Assist,Reboot,,,,1,0,0,0,1651372749,1651378261,4/30/2022 21:39,4/30/2022 23:11,5512,-1,0,0,140,Alarm,Running,1,1,0,13535,13535,,NA,MTX-04,FSAUS
T:/Lot_History\Lot_22_55_33_Apr-29-1651290933.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651290933,4/29/2022 22:55,1651363134,4/30/2022 18:58,MTX04,5,4,17,2,2022,30,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-14.8,-10,0,0,1,0,1651308898,1651308923,4/30/2022 3:54,4/30/2022 3:55,25,-1,0,0,-45,Alarm,Running,1,5,0,13267,13267,,5,MTX-04,FSAUS
T:/Lot_History\Lot_22_55_33_Apr-29-1651290933.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651290933,4/29/2022 22:55,1651363134,4/30/2022 18:58,MTX04,5,4,17,2,2022,31,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-29.6,-25,0,0,1,0,1651309032,1651309145,4/30/2022 3:57,4/30/2022 3:59,113,-1,0,0,-45,Alarm,Running,1,5,0,13267,13267,,5,MTX-04,FSAUS
T:/Lot_History\Lot_22_55_33_Apr-29-1651290933.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651290933,4/29/2022 22:55,1651363134,4/30/2022 18:58,MTX04,5,4,17,2,2022,32,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-11.7,-10,0,0,1,0,1651309416,1651309436,4/30/2022 4:03,4/30/2022 4:03,20,-1,0,0,-45,Alarm,Running,1,5,0,13437,13437,,5,MTX-04,FSAUS
T:/Lot_History\Lot_22_55_33_Apr-29-1651290933.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651290933,4/29/2022 22:55,1651363134,4/30/2022 18:58,MTX04,5,4,17,2,2022,33,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-26.6,-25,0,0,1,0,1651309495,1651309522,4/30/2022 4:04,4/30/2022 4:05,27,-1,0,0,-45,Alarm,Running,1,5,0,13437,13437,,5,MTX-04,FSAUS
T:/Lot_History\Lot_22_55_33_Apr-29-1651290933.log,11mm_297_X8_FCPBGA,11mm_297_X8_FCPBGA,SYS_320-500-149,-45,1651290933,4/29/2022 22:55,1651363134,4/30/2022 18:58,MTX04,5,4,17,2,2022,34,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value %s exceeds %s,0,SC1_Handler:MC,1,User,Assist,Other,,-38.5,-25,0,0,1,0,1651312969,1651312978,4/30/2022 5:02,4/30/2022 5:02,9,-1,0,0,-45,Alarm,Flushing,1,1,0,13443,13443,,5,MTX-04,FSAUS
