fname,kit,test,system,setpoint,job_time,job_time_readable,end_time,end_time_readable,handlername,DayOfWeek,month,week,quarter,year,IntID,ALID,AlarmText,LotParts,SubID,Source,Type,Class,Subclass,unknown1,Arg1,Arg2,RebootCount,ReinitCount,RetryCount,ClearCount,set_time,cleared_time,set_readable,cleared_readable,ElapsedTime,unknown2,unknown3,unknown4,Temperature,E10Mode,OpMode,StationMode,TesterMode,AirPLow,PartCount,CycleCount,unknown5,UserID,HandlerID,SiteID
T:/Lot_History\cold_24hour-10min-1646105781.log,19mm_525_x5_FFLBGA,Final_Test,MTX-A01_SYSTEM,25.0,1646105781,"21:36:21 28-Feb-2022",1650040181,"11:29:41 15-Apr-2022",MTXA01,3,4,15,2.1538461538461537,2022,1,10880,ALARM10880-Boat Xport Access Doors failed to close door at Output,200,SC1_Handler:PnP_Transfer,0,User,Assist,Other,,,,0,0,1,0,1649954195,1649954803,11:36:35 14-Apr-2022,11:46:43 14-Apr-2022,608,-1,0,0,25.0,Alarm,Running,1,1,0,0,0,,5,MTX-A01,NXP-ATX
T:/Lot_History\Lot_12_09_00_Apr-09-1649477341.log,19mm_525_x5_FFLBGA,Final_Test,MTX-A01_SYSTEM,-45.0,1649477341,"12:09:01 9-Apr-2022",1649484337,"14:05:37 9-Apr-2022",MTXA01,5,4,14,2.0769230769230766,2022,11,12151,"ALARM12151-Right Test-Site PnP found unexpected part on nest(s) %s. Open rear door, remove device to push Clear",0,SC1_Handler:Ts_Head_Right,0,User,Assist,Other,,A1 B1 B2,,0,0,0,1,1649483886,1649484261,13:58:06 09-Apr-2022,14:04:21 09-Apr-2022,375,-1,0,0,-45.0,Alarm,Running,3,5,0,2352,2352,,5,MTX-A01,NXP-ATX
T:/Lot_History\Lot_10_36_22_Apr-09-1649471784.log,19mm_525_x5_FFLBGA,Final_Test,MTX-A01_SYSTEM,125.0,1649471784,"10:36:24 9-Apr-2022",1649477342,"12:09:02 9-Apr-2022",MTXA01,5,4,14,2.0769230769230766,2022,10,11950,ALARM11950-Left Test-Site PnP pick operation unable to pick up parts on nest(s) %s.,0,SC1_Handler:Ts_Head_Left,0,User,Assist,Other,,A1 B1,,0,0,2,0,1649472261,1649472310,10:44:21 09-Apr-2022,10:45:10 09-Apr-2022,49,-1,0,0,25.0,Alarm,Running,1,5,0,830,830,,5,MTX-A01,NXP-ATX
T:/Lot_History\P957_CBO_RUN-1641892250.log,19mm_525_x5_FFLBGA,Final_Test,MTX-A01_SYSTEM,25.0,1641892250,"17:10:50 11-Jan-2022",1649448258,"04:04:18 9-Apr-2022",MTXA01,1,1,2,1.1538461538461537,2022,1,12150,ALARM12150-Right Test-Site PnP pick operation unable to pick up parts on nest(s) %s.,0,SC1_Handler:Ts_Head_Right,0,User,Assist,Other,,B1,,0,0,1,0,1641912385,1641912414,22:46:25 11-Jan-2022,22:46:54 11-Jan-2022,29,-1,0,0,-55.0,Alarm,Running,3,5,0,12784,12784,,Administrator,P5243-0957,
T:/Lot_History\P957_CBO_RUN-1641892250.log,19mm_525_x5_FFLBGA,Final_Test,MTX-A01_SYSTEM,25.0,1641892250,"17:10:50 11-Jan-2022",1649448258,"04:04:18 9-Apr-2022",MTXA01,1,4,14,2.0769230769230766,2022,2,14104,ALARM14104-Boat Xport Conveyor failed to move.,85,SC1_Handler:Boat_Xport,0,User,Assist,Other,,,,0,0,0,0,1649185507,1649185575,03:05:07 06-Apr-2022,03:06:15 06-Apr-2022,68,-1,0,0,25.0,Alarm,Initializing,1,1,0,0,0,,NA,MTX-A01,NXP-ATX
