Export Time, Export Time Seconds, Last Cycle Count
2022-Mar-18-14:21:00,1647638460,3578

IntID,WARNID,Warn Text,Source,Type,Class,Subclass,Annotation,Reboot Count,Reinit Count,Retry Count,Clear Count,Set,Cleared,Elapsed,Response Time,Temperature,E10 Mode,OpMode,Station Mode,Tester Mode,Air P Low,Part Count,Cycle Count,User ID,Handler ID,Site ID
22,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,20:25:02 22-Feb-2022,20:25:18 22-Feb-2022,00:00:16,1381,-45.0,Unknown,Diagnostic,1,1,0,0,0,NA,MTX-06,FSAUS
23,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,20:25:03 22-Feb-2022,20:25:18 22-Feb-2022,00:00:15,1380,-45.0,Unknown,Diagnostic,1,1,0,0,0,NA,MTX-06,FSAUS
24,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,20:25:03 22-Feb-2022,20:25:19 22-Feb-2022,00:00:16,1380,-45.0,Unknown,Diagnostic,1,1,0,0,0,NA,MTX-06,FSAUS
25,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Reboot,0,1,0,0,0,20:45:23 22-Feb-2022,21:24:57 22-Feb-2022,00:39:34,160,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
26,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Reboot,0,1,0,0,0,20:46:23 22-Feb-2022,21:24:57 22-Feb-2022,00:38:34,100,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
27,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Reboot,0,1,0,0,0,20:46:23 22-Feb-2022,21:24:57 22-Feb-2022,00:38:34,100,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
28,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Reboot,0,1,0,0,0,20:46:31 22-Feb-2022,21:24:57 22-Feb-2022,00:38:26,92,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
29,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,21:25:37 22-Feb-2022,21:47:21 22-Feb-2022,00:21:44,152,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
30,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,21:26:24 22-Feb-2022,21:46:36 22-Feb-2022,00:20:12,105,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
31,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,21:26:37 22-Feb-2022,21:46:37 22-Feb-2022,00:20:00,92,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
32,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,21:26:37 22-Feb-2022,21:46:37 22-Feb-2022,00:20:00,92,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-06,FSAUS
33,6451,WARNING6451-Partial Input Tray Detected at Input TPS1; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,1,0,22:45:14 22-Feb-2022,22:51:02 22-Feb-2022,00:05:48,534,-45.0,Productive,Running,1,1,0,0,0,5,MTX-06,FSAUS
34,6451,WARNING6451-Partial Input Tray Detected at Input TPS1; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,1,0,22:54:08 22-Feb-2022,22:59:44 22-Feb-2022,00:05:36,9502,-45.0,Productive,Running,1,1,0,0,0,5,MTX-06,FSAUS
35,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,00:54:31 23-Feb-2022,00:57:51 23-Feb-2022,00:03:20,2279,-45.0,Unknown,Diagnostic,1,1,0,0,250,NA,MTX-06,FSAUS
36,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,00:54:31 23-Feb-2022,00:57:51 23-Feb-2022,00:03:20,2279,-45.0,Unknown,Diagnostic,1,1,0,0,250,NA,MTX-06,FSAUS
37,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,00:54:32 23-Feb-2022,00:57:52 23-Feb-2022,00:03:20,2278,-45.0,Unknown,Diagnostic,1,1,0,0,250,NA,MTX-06,FSAUS
38,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Reboot,0,1,0,0,0,01:29:54 23-Feb-2022,01:44:20 23-Feb-2022,00:14:26,156,25.0,Productive,Uninit,1,1,0,0,250,NA,MTX-06,FSAUS
39,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Reboot,0,1,0,0,0,01:30:50 23-Feb-2022,01:44:20 23-Feb-2022,00:13:30,100,25.0,Productive,Uninit,1,1,0,0,250,NA,MTX-06,FSAUS
40,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Reboot,0,1,0,0,0,01:30:51 23-Feb-2022,01:44:20 23-Feb-2022,00:13:29,99,25.0,Productive,Uninit,1,1,0,0,250,NA,MTX-06,FSAUS
41,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Reboot,0,1,0,0,0,01:30:59 23-Feb-2022,01:44:20 23-Feb-2022,00:13:21,91,25.0,Productive,Uninit,1,1,0,0,250,NA,MTX-06,FSAUS
42,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,01:45:03 23-Feb-2022,01:48:39 23-Feb-2022,00:03:36,148,25.0,Productive,Uninit,1,1,0,0,250,NA,MTX-06,FSAUS
43,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,01:45:51 23-Feb-2022,01:48:09 23-Feb-2022,00:02:18,100,25.0,Productive,Uninit,1,1,0,0,250,NA,MTX-06,FSAUS
44,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,01:45:52 23-Feb-2022,01:48:09 23-Feb-2022,00:02:17,99,25.0,Productive,Uninit,1,1,0,0,250,NA,MTX-06,FSAUS
45,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,01:46:00 23-Feb-2022,01:48:09 23-Feb-2022,00:02:09,91,25.0,Productive,Uninit,1,1,0,0,250,NA,MTX-06,FSAUS
46,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,02:44:21 23-Feb-2022,02:46:45 23-Feb-2022,00:02:24,4264,-45.0,Productive,Flushing,1,1,0,0,250,NA,MTX-06,FSAUS
47,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,02:44:22 23-Feb-2022,02:46:45 23-Feb-2022,00:02:23,4263,-45.0,Productive,Flushing,1,1,0,0,250,NA,MTX-06,FSAUS
48,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,02:44:22 23-Feb-2022,02:46:46 23-Feb-2022,00:02:24,4263,-45.0,Productive,Flushing,1,1,0,0,250,NA,MTX-06,FSAUS
49,13704,WARNING13704-Please open door and Unload Stack 7.,SC1_Handler:Tray_Coord,0,0,Other,0,0,0,0,0,03:55:25 23-Feb-2022,03:55:25 23-Feb-2022,00:00:00,0,-45.0,Standby,Running,1,1,0,0,250,NA,MTX-06,FSAUS
50,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,04:02:52 23-Feb-2022,04:03:16 23-Feb-2022,00:00:24,1735,-45.0,Unknown,Running,1,1,0,0,250,NA,MTX-06,FSAUS
51,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,04:02:53 23-Feb-2022,04:03:16 23-Feb-2022,00:00:23,1734,-45.0,Unknown,Running,1,1,0,0,250,NA,MTX-06,FSAUS
52,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,04:02:53 23-Feb-2022,04:03:17 23-Feb-2022,00:00:24,1734,-45.0,Unknown,Running,1,1,0,0,250,NA,MTX-06,FSAUS
53,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,04:04:30 23-Feb-2022,04:04:47 23-Feb-2022,00:00:17,1637,-45.0,Unknown,Diag_Recovery,1,1,0,0,250,NA,MTX-06,FSAUS
54,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,04:04:31 23-Feb-2022,04:04:47 23-Feb-2022,00:00:16,1636,-45.0,Unknown,Diag_Recovery,1,1,0,0,250,NA,MTX-06,FSAUS
55,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,04:04:31 23-Feb-2022,04:04:47 23-Feb-2022,00:00:16,1636,-45.0,Unknown,Diag_Recovery,1,1,0,0,250,NA,MTX-06,FSAUS
56,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,04:11:22 23-Feb-2022,04:11:36 23-Feb-2022,00:00:14,1225,-45.0,Unknown,Running,1,1,0,0,250,NA,MTX-06,FSAUS
57,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,04:11:22 23-Feb-2022,04:11:36 23-Feb-2022,00:00:14,1225,-45.0,Unknown,Running,1,1,0,0,250,NA,MTX-06,FSAUS
58,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,04:11:22 23-Feb-2022,04:11:36 23-Feb-2022,00:00:14,1225,-45.0,Unknown,Running,1,1,0,0,250,NA,MTX-06,FSAUS
59,6451,WARNING6451-Partial Input Tray Detected at Input TPS1; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,1,0,04:31:47 23-Feb-2022,04:58:34 23-Feb-2022,00:26:47,0,-45.0,Engineering,Running,1,1,0,0,548,5,MTX-06,FSAUS
60,6451,WARNING6451-Partial Input Tray Detected at Input TPS1; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,4,0,05:25:28 23-Feb-2022,05:27:12 23-Feb-2022,00:01:44,11,-45.0,Engineering,Running,1,1,0,0,1130,5,MTX-06,FSAUS
61,6451,WARNING6451-Partial Input Tray Detected at Input TPS1; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,1,0,06:21:24 23-Feb-2022,06:22:49 23-Feb-2022,00:01:25,8047,-45.0,Engineering,Running,1,1,0,0,2146,5,MTX-06,FSAUS
