Export Time, Export Time Seconds, Last Cycle Count, MCBI, Current Setpoint
2022-Mar-18-14:17:33,1647631053,21051,239,25

IntID,ALID,Alarm Text,SubID,Source,Type,Class,Subclass,Annotation,Arg1,Arg2,Reboot Count,Reinit Count,Retry Count,Clear Count,Time Occurred,Time Cleared,Set,Cleared,Elapsed,Response Time,Temperature,E10 Mode,OpMode,Station Mode,Tester Mode,Air P Low,Part Count,Cycle Count,User ID,Handler ID,Site ID
1,10514,ALARM10514-Input PnP Y-Axis unable to complete move. (target = 20.0000) ,55-Axis Drive Fault,SC1_Handler:PnP_Input,Machine,Assist,Reboot,,(target = 20.0000),,1,0,0,0,1643973684,1643974065,05:21:24 04-Feb-2022,05:27:45 04-Feb-2022,00:06:21,51422,-45.0,Alarm,Flushing,1,1,0,0,0,NA,MTX-04,FSAUS
2,10544,ALARM10544-Input PnP X-Pitch Axis unable to complete move. (target = 1.6244) ,55-Axis Drive Fault,SC1_Handler:PnP_Input,User,Assist,Reboot,,(target = 1.6244),,1,0,0,0,1643973686,1643974065,05:21:26 04-Feb-2022,05:27:45 04-Feb-2022,00:06:19,51420,-45.0,Alarm,Flushing,1,1,0,0,0,NA,MTX-04,FSAUS
3,10554,ALARM10554-Input PnP Y-Pitch Axis unable to complete move. (target = 0.9570) ,55-Axis Drive Fault,SC1_Handler:PnP_Input,User,Assist,Reboot,,(target = 0.9570),,1,0,0,0,1643973686,1643974065,05:21:26 04-Feb-2022,05:27:45 04-Feb-2022,00:06:19,51420,-45.0,Alarm,Flushing,1,1,0,0,0,NA,MTX-04,FSAUS
4,10504,ALARM10504-Input PnP X-Axis unable to complete move. (target = -0.8900) ,55-Axis Drive Fault,SC1_Handler:PnP_Input,Machine,Assist,Reboot,,(target = -0.8900),,1,0,0,0,1643973686,1643974065,05:21:26 04-Feb-2022,05:27:45 04-Feb-2022,00:06:19,51420,-45.0,Alarm,Flushing,1,1,0,0,0,NA,MTX-04,FSAUS
5,10924,ALARM10924-Transfer PnP Z-Axis unable to complete move. (target = 0.5000) ,55-Axis Drive Fault,SC1_Handler:PnP_Transfer,Machine,Assist,Reboot,,(target = 0.5000),,1,0,0,0,1643973709,1643974065,05:21:49 04-Feb-2022,05:27:45 04-Feb-2022,00:05:56,51397,-45.0,Alarm,Flushing,1,1,0,0,0,NA,MTX-04,FSAUS
6,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -28.0 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-28.0,-25.0,0,0,1,0,1644026219,1644026428,19:56:59 04-Feb-2022,20:00:28 04-Feb-2022,00:03:29,3462,-45.0,Alarm,Running,1,1,0,116,116,5,MTX-04,FSAUS
7,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -34.5 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-34.5,-25.0,0,0,1,0,1644029681,1644030939,20:54:41 04-Feb-2022,21:15:39 04-Feb-2022,00:20:58,7746,-45.0,Alarm,Running,1,1,0,256,256,5,MTX-04,FSAUS
8,12560,ALARM12560-Output PnP pick operation unable to pick up parts on Z-Head(s) A3 at Shuttle_Output_Right.,200-IO Group Wait Timeout,SC1_Handler:PnP_Output,Machine,Assist,Other,,A3,Shuttle_Output_Right,0,0,1,0,1644037427,1644037988,23:03:47 04-Feb-2022,23:13:08 04-Feb-2022,00:09:21,52869,130.0,Alarm,Running,1,1,0,402,402,5,MTX-04,FSAUS
9,10960,ALARM10960-Transfer PnP pick operation unable to pick up parts on Z-Head(s) A3 at Boat9.,200-IO Group Wait Timeout,SC1_Handler:PnP_Transfer,Machine,Assist,Other,,A3,Boat9,0,0,1,0,1644090296,1644091482,13:44:56 05-Feb-2022,14:04:42 05-Feb-2022,00:19:46,1179,-45.0,Alarm,Running,1,1,0,1004,1004,5,MTX-04,FSAUS
10,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -26.6 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-26.6,-25.0,0,0,1,0,1644092806,1644093914,14:26:46 05-Feb-2022,14:45:14 05-Feb-2022,00:18:28,1283,-45.0,Alarm,Running,1,1,0,1018,1018,5,MTX-04,FSAUS
11,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -42.8 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-42.8,-25.0,0,0,1,0,1644094088,1644094390,14:48:08 05-Feb-2022,14:53:10 05-Feb-2022,00:05:02,463,-45.0,Alarm,Running,1,1,0,1032,1032,5,MTX-04,FSAUS
12,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -56.2 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-56.2,-25.0,0,0,1,0,1644094722,1644095304,14:58:42 05-Feb-2022,15:08:24 05-Feb-2022,00:09:42,643,-45.0,Alarm,Running,1,1,0,1039,1039,5,MTX-04,FSAUS
