Export Time, Export Time Seconds, Last Cycle Count, MCBI, Current Setpoint
2022-Mar-18-14:17:33,1647631053,21051,239,25

IntID,ALID,Alarm Text,SubID,Source,Type,Class,Subclass,Annotation,Arg1,Arg2,Reboot Count,Reinit Count,Retry Count,Clear Count,Time Occurred,Time Cleared,Set,Cleared,Elapsed,Response Time,Temperature,E10 Mode,OpMode,Station Mode,Tester Mode,Air P Low,Part Count,Cycle Count,User ID,Handler ID,Site ID
13,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -54.7 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-54.7,-25.0,0,0,1,0,1644095365,1644095786,15:09:25 05-Feb-2022,15:16:26 05-Feb-2022,00:07:01,1279,-45.0,Alarm,Running,1,1,0,1046,1046,5,MTX-04,FSAUS
14,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -44.6 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-44.6,-25.0,0,0,1,0,1644096644,1644102153,15:30:44 05-Feb-2022,17:02:33 05-Feb-2022,01:31:49,17304,-45.0,Alarm,Running,1,1,0,1060,1060,5,MTX-04,FSAUS
15,12163,ALARM12163-Handler's Contactor B1 stuck device. Open rear door; remove device to push Clear,0-None,SC1_Handler:Ts_Head_Right,User,Assist,Other,,B1,,0,0,0,1,1644113948,1644119630,20:19:08 05-Feb-2022,21:53:50 05-Feb-2022,01:34:42,3536,-45.0,Alarm,Running,1,1,0,1249,1249,5,MTX-04,FSAUS
16,10340,ALARM10340-ATT unable to Open Tray Restraint,20050-Either the Front or the Back sensor could not be UN-Blocked,SC1_Handler:Tray_Xport,User,Assist,Other,,,,0,0,1,0,1644307844,1644307944,02:10:44 08-Feb-2022,02:12:24 08-Feb-2022,00:01:40,66,50.0,Alarm,Initializing,1,1,0,1948,1948,5,MTX-04,FSAUS
17,12161,ALARM12161-Right Test-Site PnP Chuck(s) 3 4 unable to extend.,0-None,SC1_Handler:Ts_Head_Right,User,Assist,Other,,3 4,,0,0,1,0,1644308073,1644308129,02:14:33 08-Feb-2022,02:15:29 08-Feb-2022,00:00:56,38957,50.0,Alarm,Flushing,1,1,0,1948,1948,5,MTX-04,FSAUS
18,12152,ALARM12152-Right Test-Site PnP parts not Found on nest(s) B3; after z nests raise on a pick operation. Open door and remove parts to Clear,0-None,SC1_Handler:Ts_Head_Right,User,Assist,Other,,B3,,0,0,0,1,1644346950,1644347488,13:02:30 08-Feb-2022,13:11:28 08-Feb-2022,00:08:58,80,25.0,Alarm,Running,1,5,0,2132,2132,5,MTX-04,FSAUS
19,10804,ALARM10804-Boat Xport Input Stack Z-axis unable to move. (target = 0.1000) ,67-The amplifier is disabled,SC1_Handler:Boat_Xport,User,Assist,Other,,(target = 0.1000),,0,0,1,0,1644347345,1644347488,13:09:05 08-Feb-2022,13:11:28 08-Feb-2022,00:02:23,82,25.0,Alarm,Running,1,5,0,2453,2453,5,MTX-04,FSAUS
20,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -25.3 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-25.3,-25.0,0,0,1,0,1644421309,1644421323,09:41:49 09-Feb-2022,09:42:03 09-Feb-2022,00:00:14,3,-45.0,Alarm,Initializing,1,4,0,2453,2453,5,MTX-04,FSAUS
21,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -38.6 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-38.6,-25.0,0,0,1,0,1644421356,1644421470,09:42:36 09-Feb-2022,09:44:30 09-Feb-2022,00:01:54,93,-45.0,Alarm,Flushing,1,4,0,2453,2453,5,MTX-04,FSAUS
22,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -18.1 exceeds -10.0,0-None,SC1_Handler:MC,User,Assist,Other,,-18.1,-10.0,0,0,1,0,1644421587,1644421783,09:46:27 09-Feb-2022,09:49:43 09-Feb-2022,00:03:16,543,-45.0,Alarm,Flushing,1,4,0,2453,2453,5,MTX-04,FSAUS
23,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -45.8 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-45.8,-25.0,0,0,1,0,1644422130,1644422153,09:55:30 09-Feb-2022,09:55:53 09-Feb-2022,00:00:23,3396,-45.0,Alarm,Running,1,4,0,2453,2453,5,MTX-04,FSAUS
24,12150,ALARM12150-Right Test-Site PnP pick operation unable to pick up parts on nest(s) B3. Open door and remove parts to Clear,0-None,SC1_Handler:Ts_Head_Right,User,Assist,Other,,B3,,0,0,0,1,1644549597,1644554607,21:19:57 10-Feb-2022,22:43:27 10-Feb-2022,01:23:30,4886,150.0,Alarm,Running,1,1,0,2453,2453,5,MTX-04,FSAUS
25,10719,ALARM10719-Boat Xport Conveyor found unexpected boat at Output.,200-IO Group Wait Timeout,SC1_Handler:Boat_Xport,User,Assist,Other,,,,0,0,1,0,1644562857,1644562939,01:00:57 11-Feb-2022,01:02:19 11-Feb-2022,00:01:22,292,150.0,Alarm,Flushing,3,5,0,2481,2481,5,MTX-04,FSAUS
26,10719,ALARM10719-Boat Xport Conveyor found unexpected boat at Output.,200-IO Group Wait Timeout,SC1_Handler:Boat_Xport,User,Assist,Other,,,,0,0,1,0,1644563149,1644564042,01:05:49 11-Feb-2022,01:20:42 11-Feb-2022,00:14:53,838,150.0,Alarm,Flushing,3,5,0,2481,2481,5,MTX-04,FSAUS
27,10719,ALARM10719-Boat Xport Conveyor found unexpected boat at Output.,200-IO Group Wait Timeout,SC1_Handler:Boat_Xport,User,Assist,Other,,,,0,0,1,0,1644564208,1644564269,01:23:28 11-Feb-2022,01:24:29 11-Feb-2022,00:01:01,195,150.0,Alarm,Flushing,3,5,0,2481,2481,5,MTX-04,FSAUS
28,10719,ALARM10719-Boat Xport Conveyor found unexpected boat at Output.,200-IO Group Wait Timeout,SC1_Handler:Boat_Xport,User,Assist,Other,,,,0,0,1,0,1644564402,1644564524,01:26:42 11-Feb-2022,01:28:44 11-Feb-2022,00:02:02,194,150.0,Alarm,Flushing,3,5,0,2481,2481,5,MTX-04,FSAUS
29,10719,ALARM10719-Boat Xport Conveyor found unexpected boat at Output.,200-IO Group Wait Timeout,SC1_Handler:Boat_Xport,User,Assist,Reboot,,,,1,0,0,0,1644564596,1644565168,01:29:56 11-Feb-2022,01:39:28 11-Feb-2022,00:09:32,46367,150.0,Alarm,Flushing,3,5,0,2481,2481,NA,MTX-04,FSAUS
30,10719,ALARM10719-Boat Xport Conveyor found unexpected boat at Output.,200-IO Group Wait Timeout,SC1_Handler:Boat_Xport,User,Assist,Other,,,,0,0,0,0,1644663794,1644665582,05:03:14 12-Feb-2022,05:33:02 12-Feb-2022,00:29:48,1082,150.0,Alarm,Running,1,1,0,7159,7159,NA,MTX-04,FSAUS
31,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -43.5 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-43.5,-25.0,0,0,1,0,1644729118,1644729530,23:11:58 12-Feb-2022,23:18:50 12-Feb-2022,00:06:52,407,-45.0,Alarm,Running,1,1,0,8211,8211,5,MTX-04,FSAUS
32,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -34.3 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-34.3,-25.0,0,0,1,0,1644729767,1644730111,23:22:47 12-Feb-2022,23:28:31 12-Feb-2022,00:05:44,767,-45.0,Alarm,Running,1,1,0,8211,8211,5,MTX-04,FSAUS
33,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -28.0 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-28.0,-25.0,0,0,1,0,1644730534,1644730538,23:35:34 12-Feb-2022,23:35:38 12-Feb-2022,00:00:04,48,-45.0,Alarm,Running,1,1,0,8211,8211,5,MTX-04,FSAUS
34,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -46.6 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-46.6,-25.0,0,0,0,0,1644730581,1644731521,23:36:21 12-Feb-2022,23:52:01 12-Feb-2022,00:15:40,1998,-45.0,Alarm,Running,1,1,0,8211,8211,NA,MTX-04,FSAUS
35,12150,ALARM12150-Right Test-Site PnP pick operation unable to pick up parts on nest(s) B2 C2 D2. Open door and remove parts to Clear,0-None,SC1_Handler:Ts_Head_Right,User,Assist,Other,,B2 C2 D2,,0,0,1,0,1644730599,1644732695,23:36:39 12-Feb-2022,00:11:35 13-Feb-2022,00:34:56,1980,-45.0,Alarm,Running,1,1,0,8211,8211,5,MTX-04,FSAUS
36,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -18.3 exceeds -10.0,0-None,SC1_Handler:MC,User,Assist,Other,,-18.3,-10.0,0,0,0,0,1644732983,1644734621,00:16:23 13-Feb-2022,00:43:41 13-Feb-2022,00:27:18,478,-45.0,Alarm,Running,1,1,0,8241,8241,NA,MTX-04,FSAUS
37,12150,ALARM12150-Right Test-Site PnP pick operation unable to pick up parts on nest(s) B2 C2 D2. Open door and remove parts to Clear,0-None,SC1_Handler:Ts_Head_Right,User,Assist,Other,,B2 C2 D2,,0,0,1,0,1644733393,1644733438,00:23:13 13-Feb-2022,00:23:58 13-Feb-2022,00:00:45,68,-45.0,Alarm,Running,1,1,0,8241,8241,5,MTX-04,FSAUS
38,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -25.5 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-25.5,-25.0,0,0,0,0,1644734694,1644734732,00:44:54 13-Feb-2022,00:45:32 13-Feb-2022,00:00:38,35,-45.0,Alarm,Flushing,1,1,0,8245,8245,NA,MTX-04,FSAUS
39,10481,ALARM10481-Unable to Read Tray Sensor on Dock TPS,200-IO Group Wait Timeout,SC1_Handler:Tray_Xport,User,Assist,Other,,DOCK_TPS,,0,0,2,0,1644749773,1644750303,04:56:13 13-Feb-2022,05:05:03 13-Feb-2022,00:08:50,74,-45.0,Alarm,Initializing,1,1,0,8245,8245,5,MTX-04,FSAUS
40,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -29.7 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-29.7,-25.0,0,0,1,0,1644750462,1644750511,05:07:42 13-Feb-2022,05:08:31 13-Feb-2022,00:00:49,1119,-45.0,Alarm,Running,1,1,0,8245,8245,5,MTX-04,FSAUS
41,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -37.6 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-37.6,-25.0,0,0,1,0,1644751581,1644751819,05:26:21 13-Feb-2022,05:30:19 13-Feb-2022,00:03:58,677,-45.0,Alarm,Running,1,1,0,8245,8245,5,MTX-04,FSAUS
42,12150,ALARM12150-Right Test-Site PnP pick operation unable to pick up parts on nest(s) B2 C2 D2. Open door and remove parts to Clear,0-None,SC1_Handler:Ts_Head_Right,User,Assist,Other,,B2 C2 D2,,0,0,5,0,1644752258,1644757932,05:37:38 13-Feb-2022,07:12:12 13-Feb-2022,01:34:34,20,-45.0,Alarm,Running,1,1,0,8245,8245,5,MTX-04,FSAUS
43,10719,ALARM10719-Boat Xport Conveyor found unexpected boat at Output.,200-IO Group Wait Timeout,SC1_Handler:Boat_Xport,User,Assist,Reboot,,,,1,0,2,0,1644921992,1644926367,04:46:32 15-Feb-2022,05:59:27 15-Feb-2022,01:12:55,56002,150.0,Alarm,Running,1,1,0,11311,11311,5,MTX-04,FSAUS
44,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -31.0 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-31.0,-25.0,0,0,1,0,1644977994,1644978002,20:19:54 15-Feb-2022,20:20:02 15-Feb-2022,00:00:08,3206,-45.0,Alarm,Running,1,1,0,11849,11849,5,MTX-04,FSAUS
45,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -25.3 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-25.3,-25.0,0,0,1,0,1644981199,1644981231,21:13:19 15-Feb-2022,21:13:51 15-Feb-2022,00:00:32,46345,-45.0,Alarm,Running,1,1,0,11933,11933,5,MTX-04,FSAUS
46,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -40.5 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-40.5,-25.0,0,0,1,0,1645027323,1645027549,10:02:03 16-Feb-2022,10:05:49 16-Feb-2022,00:03:46,221,-45.0,Alarm,Running,1,1,0,13588,13588,5,MTX-04,FSAUS
47,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -35.9 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-35.9,-25.0,0,0,1,0,1645028171,1645028176,10:16:11 16-Feb-2022,10:16:16 16-Feb-2022,00:00:05,310,-45.0,Alarm,Running,1,1,0,13588,13588,5,MTX-04,FSAUS
48,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -28.8 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-28.8,-25.0,0,0,1,0,1645028481,1645028509,10:21:21 16-Feb-2022,10:21:49 16-Feb-2022,00:00:28,151,-45.0,Alarm,Flushing,1,1,0,13588,13588,5,MTX-04,FSAUS
49,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -20.6 exceeds -10.0,0-None,SC1_Handler:MC,User,Assist,Other,,-20.6,-10.0,0,0,1,0,1645028632,1645028653,10:23:52 16-Feb-2022,10:24:13 16-Feb-2022,00:00:21,191,-45.0,Alarm,Flushing,1,1,0,13588,13588,5,MTX-04,FSAUS
50,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -15.7 exceeds -10.0,0-None,SC1_Handler:MC,User,Assist,Other,,-15.7,-10.0,0,0,1,0,1645028773,1645028830,10:26:13 16-Feb-2022,10:27:10 16-Feb-2022,00:00:57,50,-45.0,Alarm,Flushing,1,1,0,13588,13588,5,MTX-04,FSAUS
51,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -34.9 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-34.9,-25.0,0,0,1,0,1645028923,1645029132,10:28:43 16-Feb-2022,10:32:12 16-Feb-2022,00:03:29,3292,-45.0,Alarm,Running,1,4,0,13588,13588,5,MTX-04,FSAUS
52,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -10.3 exceeds -10.0,0-None,SC1_Handler:MC,User,Assist,Other,,-10.3,-10.0,0,0,1,0,1645032213,1645032224,11:23:33 16-Feb-2022,11:23:44 16-Feb-2022,00:00:11,2,-45.0,Alarm,Running,1,4,0,13588,13588,5,MTX-04,FSAUS
53,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -25.1 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-25.1,-25.0,0,0,1,0,1645116245,1645116454,10:44:05 17-Feb-2022,10:47:34 17-Feb-2022,00:03:29,192,-45.0,Alarm,Running,1,1,0,14508,14508,5,MTX-04,FSAUS
54,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -26.6 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-26.6,-25.0,0,0,1,0,1645237972,1645238030,20:32:52 18-Feb-2022,20:33:50 18-Feb-2022,00:00:58,616,-45.0,Alarm,Running,1,1,0,15943,15943,5,MTX-04,FSAUS
55,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -31.9 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-31.9,-25.0,0,0,1,0,1645238587,1645239646,20:43:07 18-Feb-2022,21:00:46 18-Feb-2022,00:17:39,6089,-45.0,Alarm,Running,1,1,0,15943,15943,5,MTX-04,FSAUS
56,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -40.4 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-40.4,-25.0,0,0,0,0,1645240335,1645241048,21:12:15 18-Feb-2022,21:24:08 18-Feb-2022,00:11:53,4341,-45.0,Alarm,Running,1,1,0,15967,15967,NA,MTX-04,FSAUS
57,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -30.0 exceeds -25.0,0-None,SC1_Handler:MC,User,Assist,Other,,-30.0,-25.0,0,0,1,0,1645244676,1645245956,22:24:36 18-Feb-2022,22:45:56 18-Feb-2022,00:21:20,230293,-45.0,Alarm,Running,1,1,0,15991,15991,5,MTX-04,FSAUS
58,10960,ALARM10960-Transfer PnP pick operation unable to pick up parts on Z-Head(s) A3 at Boat9.,200-IO Group Wait Timeout,SC1_Handler:PnP_Transfer,Machine,Assist,Other,,A3,Boat9,0,0,2,0,1645474969,1645478775,14:22:49 21-Feb-2022,15:26:15 21-Feb-2022,01:03:26,79,-45.0,Alarm,Running,1,4,0,16876,16876,5,MTX-04,FSAUS
59,12560,ALARM12560-Output PnP pick operation unable to pick up parts on Z-Head(s) B1 at Shuttle_Output_Right.,200-IO Group Wait Timeout,SC1_Handler:PnP_Output,Machine,Assist,Other,,B1,Shuttle_Output_Right,0,0,1,1,1645501489,1645504569,21:44:49 21-Feb-2022,22:36:09 21-Feb-2022,00:51:20,89,-45.0,Alarm,Running,1,4,0,16876,16876,5,MTX-04,FSAUS
60,12560,ALARM12560-Output PnP pick operation unable to pick up parts on Z-Head(s) B1 at Shuttle_Output_Left.,200-IO Group Wait Timeout,SC1_Handler:PnP_Output,Machine,Assist,Other,,B1,Shuttle_Output_Left,0,0,1,0,1645511352,1645512490,00:29:12 22-Feb-2022,00:48:10 22-Feb-2022,00:18:58,1170,-45.0,Alarm,Running,1,1,0,16891,16891,5,MTX-04,FSAUS
61,12560,ALARM12560-Output PnP pick operation unable to pick up parts on Z-Head(s) B1 at Shuttle_Output_Right.,200-IO Group Wait Timeout,SC1_Handler:PnP_Output,Machine,Assist,Other,,B1,Shuttle_Output_Right,0,0,1,0,1645512522,1645512677,00:48:42 22-Feb-2022,00:51:17 22-Feb-2022,00:02:35,150,-45.0,Alarm,Running,1,1,0,16914,16914,5,MTX-04,FSAUS
62,12560,ALARM12560-Output PnP pick operation unable to pick up parts on Z-Head(s) B1 at Shuttle_Output_Left.,200-IO Group Wait Timeout,SC1_Handler:PnP_Output,Machine,Assist,Other,,B1,Shuttle_Output_Left,0,0,1,0,1645518836,1645519414,02:33:56 22-Feb-2022,02:43:34 22-Feb-2022,00:09:38,62487,130.0,Alarm,Running,1,1,0,17238,17238,5,MTX-04,FSAUS
63,10960,ALARM10960-Transfer PnP pick operation unable to pick up parts on Z-Head(s) A3 at Boat9.,200-IO Group Wait Timeout,SC1_Handler:PnP_Transfer,Machine,Assist,Other,,A3,Boat9,0,0,1,0,1645581301,1645582081,19:55:01 22-Feb-2022,20:08:01 22-Feb-2022,00:13:00,22,25.0,Alarm,Running,1,4,0,17840,17840,5,MTX-04,FSAUS
64,11955,ALARM11955-Left Test-Site PnP lost part on nest(s) C1. Open door and remove parts to Clear,0-None,SC1_Handler:Ts_Head_Left,User,Assist,Other,,C1,,0,0,0,1,1645591892,1645597836,22:51:32 22-Feb-2022,00:30:36 23-Feb-2022,01:39:04,5709,-45.0,Alarm,Running,1,1,0,18061,18061,5,MTX-04,FSAUS
65,10303,ALARM10303-TXP ATT X-Axis unable to Home.,254-Axis Move Timeout,SC1_Handler:Tray_Xport,User,Assist,Other,,,,0,0,1,0,1645602800,1645603919,01:53:20 23-Feb-2022,02:11:59 23-Feb-2022,00:18:39,994,150.0,Alarm,Initializing,1,1,0,18061,18061,5,MTX-04,FSAUS
66,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -11.8 exceeds -10.0,0-None,SC1_Handler:MC,User,Assist,Other,,-11.8,-10.0,0,0,0,0,1645606361,1645606371,02:52:41 23-Feb-2022,02:52:51 23-Feb-2022,00:00:10,261,-45.0,Alarm,Running,1,1,0,18061,18061,NA,MTX-04,FSAUS
67,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -13.3 exceeds -10.0,0-None,SC1_Handler:MC,User,Assist,Other,,-13.3,-10.0,0,0,1,0,1645606596,1645606634,02:56:36 23-Feb-2022,02:57:14 23-Feb-2022,00:00:38,26,-45.0,Alarm,Running,1,1,0,18061,18061,5,MTX-04,FSAUS
68,10040,ALARM10040-Ionizer Imbalance Detected in Testsite Zone value -10.7 exceeds -10.0,0-None,SC1_Handler:MC,User,Assist,Other,,-10.7,-10.0,0,0,1,0,1645606752,1645606759,02:59:12 23-Feb-2022,02:59:19 23-Feb-2022,00:00:07,10319,-45.0,Alarm,Running,1,1,0,18061,18061,5,MTX-04,FSAUS
69,12560,ALARM12560-Output PnP pick operation unable to pick up parts on Z-Head(s) B1 at Shuttle_Output_Left.,200-IO Group Wait Timeout,SC1_Handler:PnP_Output,Machine,Assist,Other,,B1,Shuttle_Output_Left,0,0,0,1,1645617071,1645619534,05:51:11 23-Feb-2022,06:32:14 23-Feb-2022,00:41:03,2413,130.0,Alarm,Running,1,1,0,18423,18423,5,MTX-04,FSAUS
70,12560,ALARM12560-Output PnP pick operation unable to pick up parts on Z-Head(s) B1 at Shuttle_Output_Left.,200-IO Group Wait Timeout,SC1_Handler:PnP_Output,Machine,Assist,Reboot,,B1,Shuttle_Output_Left,1,0,0,0,1645624547,1645630441,07:55:47 23-Feb-2022,09:34:01 23-Feb-2022,01:38:14,8694,25.0,Alarm,Running,1,1,0,18529,18529,NA,MTX-04,FSAUS
73,10960,ALARM10960-Transfer PnP pick operation unable to pick up parts on Z-Head(s) A3 at Boat1.,200-IO Group Wait Timeout,SC1_Handler:PnP_Transfer,Machine,Assist,Other,,A3,Boat1,0,0,1,0,1645715158,1645715197,09:05:58 24-Feb-2022,09:06:37 24-Feb-2022,00:00:39,6,-45.0,Alarm,Running,1,4,0,18835,18835,5,MTX-04,FSAUS
74,12161,ALARM12161-Right Test-Site PnP Chuck(s) 2 unable to extend.,0-None,SC1_Handler:Ts_Head_Right,User,Assist,Other,,2,,0,0,1,0,1646104886,1646105212,21:21:26 28-Feb-2022,21:26:52 28-Feb-2022,00:05:26,207366,50.0,Alarm,Running,1,1,0,19003,19003,5,MTX-04,FSAUS
75,10960,ALARM10960-Transfer PnP pick operation unable to pick up parts on Z-Head(s) A3 at Boat1.,200-IO Group Wait Timeout,SC1_Handler:PnP_Transfer,Machine,Assist,Other,,A3,Boat1,0,0,7,0,1646312081,1646313186,06:54:41 03-Mar-2022,07:13:06 03-Mar-2022,00:18:25,171,-45.0,Alarm,Running,1,4,0,19003,19003,5,MTX-04,FSAUS
